data,wartosc
31/12/1990,2.497992556
31/12/1991,3.133307875
31/12/1992,3.442700259
31/12/1993,3.526972961
31/12/1994,3.579662753
31/12/1995,3.290174199
31/12/1996,3.258109226
31/12/1997,3.236578899
31/12/1998,3.007896755
31/12/1999,2.975597852
31/12/2000,3.345876212
31/12/2001,2.981781203
31/12/2002,2.741598741
31/12/2003,2.451985396
31/12/2004,2.575859678
31/12/2005,2.211226386
31/12/2006,1.885016279
31/12/2007,2.206425137
31/12/2008,1.280271959
31/12/2009,1.482191456
31/12/2010,1.434059703
31/12/2011,1.567477213
31/12/2012,1.612323544
31/12/2013,1.187430608
31/12/2014,1.055466765
31/12/2015,1.008961312
31/12/2016,1.026267841
31/12/2017,1.049003292
31/12/2018,1.033714096
31/12/2019,1.056788902
